Timestamp,Duration,CPU Usage (%),Memory Usage (%),Swap Usage (%),GPU Usage (%),Network Sent (bytes),Network Received (bytes)
2024-04-15 23:54:36,0.03,0.0,19.1,0.0,0,5187836834,72379912106
2024-04-15 23:54:41,5.06,0.4,19.1,0.0,0,5187935261,72379973881
2024-04-15 23:54:46,10.09,0.6,20.2,0.0,0,5187937413,72379996759
2024-04-15 23:54:51,15.12,4.8,19.9,0.0,0,5187960025,72380027888
2024-04-15 23:54:56,20.15,1.6,19.9,0.1,0,5187961799,72380039824
2024-04-15 23:55:01,25.18,1.5,19.9,0.1,0,5187963566,72380050073
2024-04-15 23:55:06,30.22,2.2,19.9,0.1,0,5187965478,72380062267
2024-04-15 23:55:11,35.48,2.7,19.7,0.1,0,5187967246,72380073897
2024-04-15 23:55:16,40.6,3.0,19.7,0.1,0,5187968712,72380084351
2024-04-15 23:55:22,45.63,0.8,19.7,0.1,0,5187970320,72380095247
2024-04-15 23:55:27,50.66,8.1,19.3,0.1,13,5187971787,72380104624
2024-04-15 23:55:32,55.69,11.9,19.8,0.1,81,5187989963,72380130708
2024-04-15 23:55:37,60.71,12.7,19.8,0.1,69,5188107561,72380255806
2024-04-15 23:55:42,65.74,12.9,19.8,0.1,100,5188244397,72380402496
2024-04-15 23:55:47,70.77,12.9,19.8,0.1,100,5188385454,72380551653
2024-04-15 23:55:52,75.8,12.8,19.8,0.1,100,5188490345,72380664534
2024-04-15 23:55:57,80.83,12.8,19.8,0.1,100,5188632107,72380814844
2024-04-15 23:56:02,85.85,12.9,19.8,0.1,54,5188736479,72380928206
2024-04-15 23:56:07,90.88,12.8,19.9,0.1,100,5188842475,72381042144
2024-04-15 23:56:12,95.92,12.9,19.8,0.1,66,5188963968,72381173419
2024-04-15 23:56:17,100.95,12.9,19.8,0.1,100,5189113892,72381331515
2024-04-15 23:56:22,105.98,12.9,19.8,0.1,100,5189216946,72381443227
2024-04-15 23:56:27,111.01,12.8,19.8,0.1,100,5189356668,72381590695
